Unnamed0,Flow_ID,Src_IP,Src_Port,Dst_IP,Dst_Port,Protocol,Timestamp,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts_s,Flow_Pkts_s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts_s,Bwd_Pkts_s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down_Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Header_Length_1,Fwd_Byts_b_Avg,Fwd_Pkts_b_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts_b_Avg,Bwd_Pkts_b_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Simillar_Http,Inbound,Label
55,162.248.19.151-192.168.50.6-443-58123-6,192.168.50.6,58123,162.248.19.151,443,6,2018-12-01 13:34:11.000433 UTC,0,2,0,31,0.0,31.0,0.0,15.5,21.920310216782969,0.0,0.0,0.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,1,0,0,1,0,0,0.0,31.0,15.5,0.0,40,0,0,0,0,0,0,2,31,0,0,252,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN
540176,172.16.0.5-192.168.50.1-33434-62477-17,192.168.50.1,62477,172.16.0.5,33434,17,2018-12-01 13:34:02.000750 UTC,0,2,0,80,0.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.0,0.0,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,40.0,0.0,40,0,0,0,0,0,0,2,80,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Syn
796026,172.16.0.5-192.168.50.1-1511-51210-6,172.16.0.5,1511,192.168.50.1,51210,6,2018-12-01 13:33:47.000707 UTC,0,2,0,56,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0,1,0,0,0,1,0,0,0.0,42.0,28.0,0.0,40,0,0,0,0,0,0,2,56,0,0,0,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Syn
586622,172.16.0.5-192.168.50.1-13610-33434-17,172.16.0.5,13610,192.168.50.1,33434,17,2018-12-01 13:33:47.000126 UTC,2,2,0,80,0.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1000000.0,0.0,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,40.0,0.0,40,0,0,0,0,0,0,2,80,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Syn
145950,172.16.0.5-192.168.50.1-34671-46954-17,172.16.0.5,34671,192.168.50.1,46954,17,2018-12-01 13:32:11.000426 UTC,2,2,0,2712,0.0,1356.0,1356.0,1356.0,0.0,0.0,0.0,0.0,0.0,1356000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1000000.0,0.0,1356.0,1356.0,1356.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,2034.0,1356.0,0.0,40,0,0,0,0,0,0,2,2712,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Syn
333996,172.16.0.5-192.168.50.1-43515-33434-17,172.16.0.5,43515,192.168.50.1,33434,17,2018-12-01 13:34:14.000163 UTC,2,2,0,80,0.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1000000.0,0.0,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,40.0,0.0,40,0,0,0,0,0,0,2,80,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Syn
269676,172.16.0.5-192.168.50.1-64195-7537-6,172.16.0.5,64195,192.168.50.1,7537,6,2018-12-01 13:31:52.000604 UTC,2,2,0,56,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,28000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1000000.0,0.0,28.0,28.0,28.0,0.0,0.0,0,1,0,0,0,1,0,0,0.0,42.0,28.0,0.0,40,0,0,0,0,0,0,2,56,0,0,0,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Syn
617513,172.16.0.5-192.168.50.1-33434-13901-17,192.168.50.1,13901,172.16.0.5,33434,17,2018-12-01 13:33:32.000703 UTC,2,2,0,80,0.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1000000.0,0.0,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,40.0,0.0,40,0,0,0,0,0,0,2,80,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Syn
480292,172.16.0.5-192.168.50.1-14870-63691-17,192.168.50.1,63691,172.16.0.5,14870,17,2018-12-01 13:32:12.000608 UTC,2,2,0,1040,0.0,520.0,520.0,520.0,0.0,0.0,0.0,0.0,0.0,520000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1000000.0,0.0,520.0,520.0,520.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,780.0,520.0,0.0,40,0,0,0,0,0,0,2,1040,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Syn
312147,172.16.0.5-192.168.50.1-18979-33434-17,172.16.0.5,18979,192.168.50.1,33434,17,2018-12-01 13:34:10.000766 UTC,2,2,0,80,0.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1000000.0,0.0,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,40.0,0.0,40,0,0,0,0,0,0,2,80,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Syn
